Kolera (cholera)|A00
Uspesifisert sykdom i nervus facialis[7. hjernenerve]|G51.9
Sykdommer i andre hjernenerver|G52
Sykdommer i nervus olfactorius[1. hjernenerve]|G52.0
luktenerve|G52.0
Sykdommer i nervus glossopharyngeus[9. hjernenerve]|G52.1
Sykdommer i nervus vagus[10. hjernenerve]|G52.2
recurrensparese|G52.2
Sykdommer i nervus hypoglossus[12. hjernenerve]|G52.3
hypoglossusparese|G52.3
Sykdommer i flere hjernenerver|G52.7
Sykdommer i andre spesifiserte hjernenerver|G52.8
Sykdom i hjernenerve, uspesifisert|G52.9
Hjernenervelidelser ved sykdommer klassifisert annet sted|G53 *
Nevralgi etter herpes zoster(B02.2†)|G53.0 *
helvetesild|G53.0 *
neuralgi|G53.0 *
Flere hjernenervepareser ved infeksjonssykdommer og parasittsykdommer klassifisert annet sted (A00-B99†)|G53.1 *
bløtdelsinfeksjon|G53.1 *
feberinfektion|G53.1 *
febril infektion|G53.1 *
infeksjonssykdom|G53.1 *
infektion|G53.1 *
Flere hjernenervepareser ved sarkoidose (D86.8†)|G53.2 *
sarcoidose|G53.2 *
Flere hjernenervepareser ved neoplastisk sykdom (C00-D48†)|G53.3 *
Andre hjernenervelidelser ved andre sykdommer klassifisert annet sted|G53.8 *
Sykdommer i nerverøtter og nervepleksus|G54
Sykdommer i plexus brachialis|G54.0
brakialpleksus|G54.0
nervefletning|G54.0
Sykdommer i plexus lumbosacralis|G54.1
lumbosakralpleksus|G54.1
nervefletning|G54.1
Sykdommer i cervikale nerverøtter, ikke klassifisert annet sted|G54.2
Sykdommer i torakale nerverøtter, ikke klassifisert annet sted|G54.3
thoracal|G54.3
Sykdommer i lumbosakrale nerverøtter, ikke klassifisert annet sted|G54.4
lumbosacral|G54.4
Nevralgisk amyotrofi|G54.5
neuralgi|G54.5
Fantomlemsyndrom med smerte|G54.6
fantomsmerter|G54.6
Fantomlemsyndrom uten smerte|G54.7
fantomsmerter|G54.7
Andre spesifiserte sykdommer i nerverøtter og nervepleksus|G54.8
Uspesifisert sykdom i nerverøtter og nervepleksus|G54.9
Kompresjon av nerverøtter og nervepleksus  ved sykdommer klassifisert annet sted|G55 *
Kompresjon av nerverøtter og nervepleksus ved neoplastisk sykdom (C00 -D48†)|G55.0 *
Kompresjon av nerverøtter og nervepleksus ved lidelse i mellomvirvelskive (M50 -M51†)|G55.1 *
Kompresjon av nerverøtter og nervepleksus ved spondylose (M47.-†)|G55.2 *
spondylosis|G55.2 *
Kompresjon av nerverøtter og nervepleksus ved andre rygglidelser (M45 -M46†, M48.-†, M53-M54†)|G55.3 *
ankyloserende spondylitt|G55.3 *
bechterew|G55.3 *
bechterews sykdom|G55.3 *
beckterews|G55.3 *
dorsopati|G55.3 *
mb bechterew|G55.3 *
morbus bechterew|G55.3 *
Kompresjon av nerverøtter og nervepleksus ved andre sykdommer klassifisert annet sted|G55.8 *
Mononevropati  i overekstremitet|G56
mononeuropati|G56
neuro|G56
neuropati|G56
«Carpal tunnel syndrome»|G56.0
Andre skader i nervus medianus|G56.1
Skade i nervus ulnaris|G56.2
Skade i nervus radialis|G56.3
Kausalgi|G56.4
Andre spesifiserte mononevropatier  i overekstremitet|G56.8
mononeuropati|G56.8
neuro|G56.8
neuropati|G56.8
Mononevropati  i overekstremitet, uspesifisert|G56.9
mononeuropati|G56.9
neuro|G56.9
neuropati|G56.9
Mononevropati  i underekstremitet|G57
mononeuropati|G57
neuro|G57
neuropati|G57
Skade i nervus ischiadicus|G57.0
isjiasnerve|G57.0
Meralgia parestetica|G57.1
Skade i nervus femoralis|G57.2
lårnerve|G57.2
Skade i nervus peroneus communis|G57.3
Skade i nervus tibialis|G57.4
skinnebensnerve|G57.4
«Tarsal tunnel syndrome»|G57.5
tarsal tunnel syndrom|G57.5
Skade i nerve i fotens underside|G57.6
Andre spesifiserte mononevropatier i underekstremitet|G57.8
mononeuropati|G57.8
neuro|G57.8
neuropati|G57.8
Uspesifisert mononevropati i underekstremitet|G57.9
mononeuropati|G57.9
neuro|G57.9
neuropati|G57.9
Andre mononevropatier|G58
mononeuropati|G58
neuro|G58
neuropati|G58
Interkostal nevropati|G58.0
neuro|G58.0
neuropati|G58.0
Mononeuritis multiplex|G58.7
Andre spesifiserte mononevropatier|G58.8
mononeuropati|G58.8
neuro|G58.8
neuropati|G58.8
recurrensparese|G58.8
Uspesifisert mononevropati|G58.9
mononeuropati|G58.9
neuro|G58.9
neuropati|G58.9
Mononevropati ved sykdommer klassifisert annet sted|G59 *
mononeuropati|G59 *
neuro|G59 *
neuropati|G59 *
Diabetisk mononevropati (E10 -E14† med felles fjerdetegn .4)|G59.0 *
iddm|G59.0 *
mononeuropati|G59.0 *
neuro|G59.0 *
neuropati|G59.0 *
Andre mononevropatier ved sykdommer klassifisert annet sted|G59.8 *
mononeuropati|G59.8 *
neuro|G59.8 *
neuropati|G59.8 *
Arvelig og idiopatisk nevropati|G60
hereditær|G60
neuro|G60
neuropati|G60
Polynevropatier og andre sykdommer i det perifere nervesystemet|G60-G64
neuro|G60-G64
neuropati|G60-G64
polyneuropati|G60-G64
Arvelig motorisk og sensorisk nevropati|G60.0
cmt|G60.0
hereditær|G60.0
hsmn|G60.0
morbus charcot-marie-tooth|G60.0
neuro|G60.0
neuropati|G60.0
Refsums sykdom|G60.1
Nevropati i tilknytning til arvelig ataksi|G60.2
ataxi|G60.2
hereditær|G60.2
neuro|G60.2
neuropati|G60.2
Idiopatisk progressiv nevropati|G60.3
idiopatisk progressiv nevropati|G60.3
idiopatisk progressiv polynevropati|G60.3
neuro|G60.3
neuropati|G60.3
Annen spesifisert arvelig og idiopatisk nevropati|G60.8
hereditær|G60.8
neuro|G60.8
neuropati|G60.8
Uspesifisert arvelig og idiopatisk nevropati|G60.9
hereditær|G60.9
neuro|G60.9
neuropati|G60.9
Inflammatorisk polynevropati|G61
neuro|G61
neuropati|G61
polyneuropati|G61
Guillain-Barrés syndrom|G61.0
guillan-barre|G61.0
Serumnevropati|G61.1
neuro|G61.1
neuropati|G61.1
Andre spesifiserte inflammatoriske polynevropatier|G61.8
neuro|G61.8
neuropati|G61.8
polyneuropati|G61.8
Uspesifisert inflammatorisk polynevropati|G61.9
inflammatorisk polynevropati|G61.9
neuro|G61.9
neuropati|G61.9
polyneuropati|G61.9
Andre polynevropatier|G62
neuro|G62
neuropati|G62
polyneuropati|G62
Legemiddelutløst polynevropati|G62.0
medikament|G62.0
neuro|G62.0
neuropati|G62.0
polyneuropati|G62.0
Alkoholisk polynevropati|G62.1
alkoholisk nevropati|G62.1
alkoholisk polynevropati|G62.1
neuro|G62.1
neuropati|G62.1
polyneuropati|G62.1
Polynevropati som skyldes andre giftstoffer|G62.2
neuro|G62.2
neuropati|G62.2
polyneuropati|G62.2
Andre spesifiserte polynevropatier|G62.8
neuro|G62.8
neuropati|G62.8
polyneuropati|G62.8
Uspesifisert polynevropati|G62.9
neuro|G62.9
neuropati|G62.9
nevropati|G62.9
perifer nevropati|G62.9
polyneuropati|G62.9
polynevropati|G62.9
polyradikulitt|G62.9
Polynevropati ved sykdommer klassifisert annet sted|G63 *
neuro|G63 *
neuropati|G63 *
polyneuropati|G63 *
Polynevropati ved infeksjonssykdommer og parasittsykdommer klassifisert annet sted|G63.0 *
neuro|G63.0 *
neuropati|G63.0 *
polyneuropati|G63.0 *
Polynevropati ved neoplastisk sykdom (C00 -D48†)|G63.1 *
neuro|G63.1 *
neuropati|G63.1 *
polyneuropati|G63.1 *
Diabetisk polynevropati (E10 -E14† med felles fjerdetegn .4)|G63.2 *
iddm|G63.2 *
neuro|G63.2 *
neuropati|G63.2 *
polyneuropati|G63.2 *
Polynevropati ved andre endokrine sykdommer og metabolske forstyrrelser (E00 -E07†, E15-E16†, E20-E34†, E70-E89†)|G63.3 *
mea|G63.3 *
neuro|G63.3 *
neuropati|G63.3 *
polyneuropati|G63.3 *
Polynevropati ved mangelsykdom (E40 -E64†)|G63.4 *
ernæringsmangler|G63.4 *
neuro|G63.4 *
neuropati|G63.4 *
polyneuropati|G63.4 *
Polynevropati ved systemisk bindevevssykdom (immunopatier) (M30 -M35†)|G63.5 *
neuro|G63.5 *
neuropati|G63.5 *
polyneuropati|G63.5 *
Polynevropati ved andre lidelser i muskel-skjelettsystemet (M00 -M25†, M40-M96†)|G63.6 *
neuro|G63.6 *
neuropati|G63.6 *
polyneuropati|G63.6 *
Polynevropati ved andre sykdommer klassifisert annet sted|G63.8 *
neuro|G63.8 *
neuropati|G63.8 *
polyneuropati|G63.8 *
Andre tilstander i det perifere nervesystemet|G64
Myasthenia gravis og andre nevromuskulære  forstyrrelser|G70
neurinoma|G70
neuro|G70
Sykdommer i nevromuskulær overgang og muskler|G70-G73
neurinoma|G70-G73
neuro|G70-G73
Myasthenia gravis|G70.0
myasthenia gravis|G70.0
Toksiske nevromuskulære forstyrrelser|G70.1
neurinoma|G70.1
neuro|G70.1
Medfødt myasteni og utviklingsmyasteni|G70.2
congenitt|G70.2
kongenitt|G70.2
stein|G70.2
Andre spesifiserte nevromuskulære forstyrrelser|G70.8
neurinoma|G70.8
neuro|G70.8
Uspesifisert nevromuskulær forstyrrelse|G70.9
myastent syndrom|G70.9
neurinoma|G70.9
neuro|G70.9
nevromuskulær forstyrrelse|G70.9
nevromuskulær sykdom|G70.9
Primære muskelsykdommer|G71
Muskeldystrofi|G71.0
arvelig muskeldystrofi|G71.0
becker muskeldystrofi|G71.0
beckers muskeldystrofi|G71.0
bmd|G71.0
duchennes muskeldystrofi|G71.0
dystrophia|G71.0
facio-scapulo-humeral muskeldystrofi|G71.0
fshd|G71.0
fshmd|G71.0
hereditær muskeldystrofi|G71.0
morbus duchennes|G71.0
muskeldystrofi|G71.0
okulofaryngeal muskeldystrofi|G71.0
progredierende muskeldystrofi|G71.0
progressiv muskeldystrofi|G71.0
Myotone lidelser|G71.1
dystrofi myotonica|G71.1
medfødt myotoni|G71.1
myotoni congenita|G71.1
steinerts sykdom|G71.1
Medfødte myopatier|G71.2
congenitt|G71.2
kongenitt|G71.2
Mitokondriemyopati, ikke klassifisert annet sted|G71.3
melas syndrom|G71.3
mitokondriell myopati|G71.3
mitokondriemyopati|G71.3
Andre spesifiserte primære muskelsykdommer|G71.8
Uspesifisert primær muskelsykdom|G71.9
Andre myopatier|G72
Legemiddelutløst myopati|G72.0
medikament|G72.0
Alkoholisk myopati|G72.1
alkoholisk myopati|G72.1
Myopati som skyldes andre giftstoffer|G72.2
Periodisk paralyse|G72.3
Inflammatorisk myopati, ikke klassifisert annet sted|G72.4
Andre spesifiserte myopatier|G72.8
Uspesifisert myopati|G72.9
myopati|G72.9
Forstyrrelser i nevromuskulær  overgang og muskler ved sykdommer klassifisert annet sted|G73 *
neurinoma|G73 *
neuro|G73 *
Myastent syndrom ved endokrine sykdommer|G73.0 *
stein|G73.0 *
Lambert-Eatons syndrom (C80-D48 †)|G73.1 *
abdominal tumor av ukjent utspring|G73.1 *
bekkenmetastase|G73.1 *
bukveggsmetastase|G73.1 *
cancer|G73.1 *
cancer av ukjent opprinnelse|G73.1 *
cancer med ukjent primærtumor|G73.1 *
cancer originis incertae|G73.1 *
cancer uten kjent utgangspunkt|G73.1 *
cancermetastase|G73.1 *
cancervekst|G73.1 *
carcinoid|G73.1 *
carcinoid tumor|G73.1 *
carcinomatose|G73.1 *
chordom|G73.1 *
disseminert cancer|G73.1 *
disseminert carcinomatose|G73.1 *
eaton-lambert syndrom|G73.1 *
epitelialcancer|G73.1 *
generalisert cancer|G73.1 *
generalisert kreftsykdom|G73.1 *
generaliserte metastaser|G73.1 *
generell cancer|G73.1 *
ikke radikalt operert|G73.1 *
lavt differensiert cancer|G73.1 *
malign cachexi|G73.1 *
malign tumorsykdom|G73.1 *
metastase|G73.1 *
metastase i abdomen|G73.1 *
metastase i det lille bekken|G73.1 *
metastase på halsen|G73.1 *
metastase på overarm|G73.1 *
metastase til axillen|G73.1 *
metastase til bekken|G73.1 *
metastaserende|G73.1 *
metastasert|G73.1 *
metastases|G73.1 *
metastasespredning|G73.1 *
metastasesykdom|G73.1 *
nevroendokrin cancer|G73.1 *
nevroendokrint neoplasme|G73.1 *
papillær cancer|G73.1 *
plateepitelcarcinom|G73.1 *
primærtumor|G73.1 *
primærtumor ukjent|G73.1 *
småcellet cancer|G73.1 *
tumorkakeksi|G73.1 *
tumorlymfangitt|G73.1 *
tumormarasme|G73.1 *
tumorspredning|G73.1 *
tumorsykdom med spredning|G73.1 *
ukjent kreftsykdom|G73.1 *
ukjent primærcancer|G73.1 *
ukjent primærtumor|G73.1 *
utbredte metastaser|G73.1 *
Andre myastene syndromer ved neoplastisk sykdom (C00 -D48†)|G73.2 *
stein|G73.2 *
Myastent syndrom ved andre sykdommer klassifisert annet sted|G73.3 *
stein|G73.3 *
Myopati ved infeksjonssykdommer og parasittsykdommer klassifisert annet sted|G73.4 *
Myopati ved endokrine sykdommer|G73.5 *
Myopati ved metabolske forstyrrelser|G73.6 *
Myopati ved andre sykdommer klassifisert annet sted|G73.7 *
Cerebral parese|G80
cp|G80
Cerebral parese og andre syndromer med lammelse|G80-G83
Spastisk kvadriplegisk cerebral parese|G80.0
Spastisk diplegisk cerebral parese|G80.1
Spastisk hemiplegisk cerebral parese|G80.2
høyresidig cerebral parese|G80.2
spastisk hemiplegisk cerebral parese|G80.2
venstresidig cerebral parese|G80.2
Dyskinetisk cerebral parese|G80.3
Ataktisk cerebral parese|G80.4
Annen spesifisert cerebral parese|G80.8
Uspesifisert cerebral parese|G80.9
cerebral parese|G80.9
Hemiplegi|G81
Slapp hemiplegi|G81.0
slapp hemiparese|G81.0
slapp hemiplegi|G81.0
Spastisk hemiplegi|G81.1
høyresidig spastisk hemiparese|G81.1
høyresidig spastisk hemiplegi|G81.1
spastisk hemiparese|G81.1
spastisk hemiplegi|G81.1
venstresidig spastisk hemiparese|G81.1
venstresidig spastisk hemiplegi|G81.1
Uspesifisert hemiplegi|G81.9
halvsidig lammelse|G81.9
hemiparese|G81.9
hemiplegi|G81.9
hø hemiparese|G81.9
hø hemiplegi|G81.9
hø lammelse|G81.9
hø parese|G81.9
hø plegi|G81.9
hø svakhet|G81.9
hø.sidig lammelse|G81.9
høyre hemiparese|G81.9
høyre hemiplegi|G81.9
høyre lammelse|G81.9
høyre parese|G81.9
høyre plegi|G81.9
høyre svakhet|G81.9
høyresidig hemiparese|G81.9
høyresidig hemiplegi|G81.9
høyresidig lammelse|G81.9
høyresidig parese|G81.9
høyresidig plegi|G81.9
høyresidig svakhet|G81.9
svakhet ve|G81.9
svakhet venstre|G81.9
ve hemiparese|G81.9
ve lammelse|G81.9
ve parese|G81.9
ve plegi|G81.9
ve svakhet|G81.9
venstre hemiparese|G81.9
venstre hemiplegi|G81.9
venstre lammelse|G81.9
venstre parese|G81.9
venstre plegi|G81.9
venstre svakhet|G81.9
venstresidig lammelse|G81.9
venstresidig svakhet|G81.9
Paraplegi og tetraplegi|G82
Slapp paraplegi|G82.0
Spastisk paraplegi|G82.1
spastisk paraparese|G82.1
spastisk paraplegi|G82.1
spastisk parese nedre ekstremitet|G82.1
spastisk plegi nedre ekstremitet|G82.1
Uspesifisert paraplegi|G82.2
lammelse ben|G82.2
paraparese|G82.2
paraparese ben|G82.2
paraplegi|G82.2
paraplegi ben|G82.2
parese i ben|G82.2
plegi i ben|G82.2
Slapp tetraplegi|G82.3
Spastisk tetraplegi|G82.4
spastisk tetraparese|G82.4
spastisk tetraplegi|G82.4
Uspesifisert tetraplegi|G82.5
tetraparese|G82.5
tetraplegi|G82.5
Andre syndromer med lammelse|G83
Diplegi i overekstremiteter|G83.0
diplegi i armer|G83.0
diplegi i overekstremiteter|G83.0
lammelse i armer|G83.0
pareser i armer|G83.0
Monoplegi i underekstremitet|G83.1
Monoplegi i overekstremitet|G83.2
lammelse i overekstremitet|G83.2
monoplegi i overekstremitet|G83.2
svakhet hø arm|G83.2
svakhet ve arm|G83.2
Uspesifisert monoplegi|G83.3
Cauda equina-syndrom|G83.4
Andre spesifiserte syndromer med lammelse|G83.8
Uspesifisert syndrom med lammelse|G83.9
lammelse|G83.9
parese|G83.9
pareser|G83.9
plegi|G83.9
spastisk parese|G83.9
Lidelser i det autonome nervesystemet|G90
Andre sykdommer og tilstander i nervesystemet|G90-G99
Idiopatisk perifer autonom nevropati|G90.0
neuro|G90.0
neuropati|G90.0
Familiær dysautonomi [Riley-Days syndrom]|G90.1
Horners syndrom|G90.2
Degenerasjon av flere systemer|G90.3
multippel systematrofi|G90.3
multisystematrofi|G90.3
shy-dragers syndrom|G90.3
Autonom dysrefleksi|G90.4
Andre spesifiserte forstyrrelser i det autonome nervesystemet|G90.8
Uspesifisert forstyrrelse i det autonome nervesystemet|G90.9
Hydrocephalus|G91
hydrocefali|G91
hydrokefali|G91
vannhode|G91
Kommuniserende hydrocephalus|G91.0
hydrocefali|G91.0
hydrokefali|G91.0
kom hydrocephalus|G91.0
kommuniserende hydrocephalus|G91.0
vannhode|G91.0
Obstruktiv hydrocephalus|G91.1
hydrocefali|G91.1
hydrokefali|G91.1
obstruktiv hydrocephalus|G91.1
vannhode|G91.1
Lavtrykkshydrocephalus|G91.2
hydrocefali|G91.2
hydrokefali|G91.2
lavtrykkshydrocephalus|G91.2
normaltrykkshydrocephalus|G91.2
vannhode|G91.2
Uspesifisert posttraumatisk hydrocephalus|G91.3
hydrocefali|G91.3
hydrokefali|G91.3
vannhode|G91.3
Annen spesifisert hydrocephalus|G91.8
hydrocefali|G91.8
hydrokefali|G91.8
vannhode|G91.8
Uspesifisert hydrocephalus|G91.9
hydrocefali|G91.9
hydrocephalus|G91.9
hydrokefali|G91.9
sekundær hydrocephalus|G91.9
vannhode|G91.9
Toksisk encefalopati|G92
encephalopathia|G92
hjerneskade|G92
løsemiddelskade|G92
malerdemens|G92
Andre hjernelidelser|G93
Hjernecyster|G93.0
cerebral cyste|G93.0
Anoksisk hjerneskade, ikke klassifisert annet sted|G93.1
anoksisk hjerneskade|G93.1
anoxia|G93.1
anoxisk hjerneskade|G93.1
cerebral anoksi|G93.1
cerebral hypoksi|G93.1
cerebral iskemi|G93.1
hjernehypoksi|G93.1
hypoksisk encefalopati|G93.1
hypoksisk hjerneskade|G93.1
hypoksisk iskemisk encefalopati|G93.1
iskemisk hjerneskade|G93.1
surstoffbetinget hjerneskade|G93.1
surstoffmangel hjerne|G93.1
Godartet intrakraniell hypertensjon|G93.2
hypertoni|G93.2
høyt blodtrykk|G93.2
Postviralt utmattelsessyndrom|G93.3
cfs|G93.3
kronisk tretthetssyndrom|G93.3
me|G93.3
tretthetssyndrom kronisk|G93.3
Uspesifisert encefalopati|G93.4
encefalopati|G93.4
encephalopathia|G93.4
hjerneskade|G93.4
leukoencefalopati|G93.4
Hjernekompresjon|G93.5
cerebral herniering|G93.5
cerebral inneklemming|G93.5
cerebral kompresjon|G93.5
herniering av hjernestamme|G93.5
hjerneherniering|G93.5
hjerneinneklemming|G93.5
hjernekompresjon|G93.5
hjernestammeinneklemming|G93.5
inneklemming av hjerne|G93.5
inneklemming av hjernestamme|G93.5
intrakraniell inneklemming|G93.5
kompresjon av hjernestamme|G93.5
medullaherniering|G93.5
medullainneklemming|G93.5
medullakompresjon|G93.5
ponsherniering|G93.5
ponsinneklemming|G93.5
ponskompresjon|G93.5
Hjerneødem|G93.6
hjernestammeødem|G93.6
hjerneødem|G93.6
intracerebralt ødem|G93.6
iskemisk hjerneødem|G93.6
Reyes syndrom|G93.7
Andre spesifiserte hjernelidelser|G93.8
cerebral trykkøkning|G93.8
forhøyet intracerebralt trykk|G93.8
forhøyet intrakranielt trykk|G93.8
høyt intrakranielt trykk|G93.8
intrakraniell hypertensjon|G93.8
intrakraniell trykkstigning|G93.8
intrakraniell trykkøkning|G93.8
respirasjonsdepresjon|G93.8
status lacunaris|G93.8
status lacunaris cerebri|G93.8
utvidet ventrikkelsystem|G93.8
økt intrakranielt trykk|G93.8
Uspesifisert hjernelidelse|G93.9
cerebral dysfunksjon|G93.9
cerebral insuffisiens|G93.9
cerebral skade|G93.9
hjernedød|G93.9
hjerneskade|G93.9
hjernestammelesjon|G93.9
hjernestammepåvirkning|G93.9
hjernestammeskade|G93.9
multifokal hjerneskade|G93.9
opphevet cerebral funksjon|G93.9
opphevet hjernefunksjon|G93.9
Andre hjernelidelser ved sykdommer klassifisert annet sted|G94 *
Hydrocephalus ved infeksjonssykdommer og parasittsykdommer klassifisert annet sted (A00 -B99†)|G94.0 *
bløtdelsinfeksjon|G94.0 *
feberinfektion|G94.0 *
febril infektion|G94.0 *
hydrocefali|G94.0 *
hydrokefali|G94.0 *
infeksjonssykdom|G94.0 *
infektion|G94.0 *
vannhode|G94.0 *
Hydrocephalus ved neoplastisk sykdom (C00 -D48†)|G94.1 *
hydrocefali|G94.1 *
hydrokefali|G94.1 *
vannhode|G94.1 *
Hydrocephalus ved andre sykdommer klassifisert annet sted|G94.2 *
hydrocefali|G94.2 *
hydrokefali|G94.2 *
vannhode|G94.2 *
Andre spesifiserte hjernelidelser ved sykdommer klassifisert annet sted|G94.8 *
Andre ryggmargssykdommer|G95
Syringomyeli og syringobulbi|G95.0
syringobulbi|G95.0
syringomyeli|G95.0
Vaskulære myelopatier|G95.1
infarkt i ryggmarg|G95.1
Uspesifisert ryggmargskompresjon|G95.2
kompresjon medulla oblongata|G95.2
ryggmarg komprimert|G95.2
ryggmargskompresjon|G95.2
Andre spesifiserte ryggmargssykdommer|G95.8
legemiddelutløst myelopati|G95.8
strålingsutløst myelopati|G95.8
Uspesifisert ryggmargssykdom|G95.9
myelopati|G95.9
Andre lidelser i sentralnervesystemet|G96
Lekkasje av cerebrospinalvæske|G96.0
Lidelser i hjernehinner, ikke klassifisert annet sted|G96.1
meningeale adheranser|G96.1
meninger|G96.1
sammenvoksning hjernehinner|G96.1
Andre spesifiserte lidelser i sentralnervesystemet|G96.8
Uspesifisert lidelse i sentralnervesystemet|G96.9
encefalomyelopati|G96.9
Lidelser i nervesystemet etter behandling, ikke klassifisert annet sted|G97
Lekkasje av cerebrospinalvæske etter spinalpunksjon|G97.0
spinalhodepine|G97.0
Andre reaksjoner på spinal- og lumbalpunksjon|G97.1
Intrakraniell hypotensjon etter ventrikkelshunting|G97.2
Andre spesifiserte lidelser i nervesystemet etter behandling|G97.8
postop epilepsi|G97.8
postop hemiparese|G97.8
postop hemiplegi|G97.8
postop hjerneskade|G97.8
Uspesifisert lidelse i nervesystemet etter behandling|G97.9
Andre lidelser i nervesystemet, ikke klassifisert annet sted|G98
lidelse i nervesystemet|G98
nevrologisk sykdom|G98
progredierende nevrologisk sykdom|G98
Andre lidelser i nervesystemet ved sykdommer klassifisert annet sted|G99 *
Autonom nevropati  ved endokrine og metabolske sykdommer|G99.0 *
neuro|G99.0 *
neuropati|G99.0 *
Andre lidelser i det autonome nervesystemet ved andre sykdommer klassifisert annet sted|G99.1 *
Myelopati ved sykdommer klassifisert annet sted|G99.2 *
Andre spesifiserte lidelser i nervesystemet ved sykdommer klassifisert annet sted|G99.8 *
